#JUSTCAMB = 0
#Initializing TFs
#done!
#Sigma8 set: sNorm= 4.29628e-05
0.1 0.000351419 0.000263057 0.000263057
0.12 0.000416262 0.000276364 0.000276364
0.144 0.000541659 0.00039098 0.00039098
0.1728 0.00066889 0.000497369 0.000497369
0.20736 0.00078805 0.000553536 0.000553536
0.248832 0.000943339 0.000663819 0.000663819
0.298598 0.00111941 0.000795363 0.000795363
0.358318 0.00131024 0.000933058 0.000933058
0.429982 0.00151576 0.00107767 0.00107767
0.515978 0.00174075 0.00123792 0.00123792
0.619174 0.00198284 0.00141026 0.00141026
0.743008 0.00224324 0.00159554 0.00159554
0.89161 0.00251808 0.00179132 0.00179132
1.06993 0.0028126 0.00200088 0.00200088
1.28392 0.00312219 0.00222127 0.00222127
1.5407 0.00344768 0.002453 0.002453
1.84884 0.00378998 0.00269659 0.00269659
2.21861 0.00414564 0.00294985 0.00294985
2.66233 0.00451908 0.0032155 0.0032155
3.1948 0.00490657 0.00349113 0.00349113
3.83376 0.00530636 0.00377561 0.00377561
4.60051 0.00571873 0.00406901 0.00406901
5.52061 0.00614618 0.00437286 0.00437286
6.62474 0.0065861 0.00468537 0.00468537
7.94968 0.0070378 0.00500597 0.00500597
9.53962 0.00749547 0.00533079 0.00533079
11.4475 0.00796981 0.00566628 0.00566628
13.7371 0.00845805 0.00601027 0.00601027
16.4845 0.0089531 0.00635769 0.00635769
19.7814 0.00945388 0.00670693 0.00670693
23.7376 0.00996905 0.00706212 0.00706212
28.4852 0.010491 0.0074165 0.0074165
34.1822 0.0110217 0.00776833 0.00776833
41.0186 0.011554 0.00810883 0.00810883
49.2224 0.0121014 0.00844014 0.00844014
59.0668 0.0126507 0.00874463 0.00874463
70.8802 0.013196 0.00900557 0.00900557
85.0562 0.0137471 0.00921 0.00921
102.067 0.0143022 0.00933055 0.00933055
122.481 0.0148403 0.00932026 0.00932026
146.977 0.0153878 0.00915046 0.00915046
176.373 0.0158866 0.00874032 0.00874032
211.647 0.0163722 0.00806407 0.00806407
253.977 0.016809 0.0070832 0.0070832
304.772 0.0171992 0.0058319 0.0058319
365.726 0.0175194 0.00441888 0.00441888
438.871 0.0177749 0.00304488 0.00304488
526.646 0.0179158 0.00191726 0.00191726
631.975 0.0180858 0.0011627 0.0011627
758.37 0.0182345 0.000715876 0.000715876
910.044 0.0184395 0.000436302 0.000436302
1092.05 0.0186849 0.000242232 0.000242232
1310.46 0.0190039 0.000134912 0.000134912
1572.56 0.0193665 7.50302e-05 7.50302e-05
1887.07 0.0197621 3.94335e-05 3.94335e-05
2264.48 0.0201939 2.05543e-05 2.05543e-05
2717.38 0.0206493 1.06829e-05 1.06829e-05
3260.85 0.021117 5.44204e-06 5.44204e-06
3913.02 0.0216009 2.73966e-06 2.73966e-06
4695.63 0.0220846 1.37436e-06 1.37436e-06
5634.75 0.0226091 6.86659e-07 6.86659e-07
6761.7 0.0231007 3.41272e-07 3.41272e-07
8114.04 0.0236112 1.69269e-07 1.69269e-07
9736.85 0.0241252 8.37472e-08 8.37472e-08
