#JUSTCAMB = 0
#Initializing TFs
#done!
#Sigma8 set: sNorm= 4.29628e-05
0.1 0.000351419 0.000263057 0.000263057
0.12 0.000416262 0.000276364 0.000276364
0.144 0.000541659 0.00039098 0.00039098
0.1728 0.00066889 0.000497369 0.000497369
0.20736 0.00078805 0.000553536 0.000553536
0.248832 0.000943339 0.000663819 0.000663819
0.298598 0.00111941 0.000795363 0.000795363
0.358318 0.00131024 0.000933058 0.000933058
0.429982 0.00151576 0.00107767 0.00107767
0.515978 0.00174075 0.00123792 0.00123792
0.619174 0.00198284 0.00141026 0.00141026
0.743008 0.00224324 0.00159554 0.00159554
0.89161 0.00251808 0.00179132 0.00179132
1.06993 0.0028126 0.00200088 0.00200088
1.28392 0.00312219 0.00222127 0.00222127
1.5407 0.00344768 0.002453 0.002453
1.84884 0.00378998 0.00269659 0.00269659
2.21861 0.00414564 0.00294985 0.00294985
2.66233 0.00451908 0.0032155 0.0032155
3.1948 0.00490657 0.00349113 0.00349113
3.83376 0.00530636 0.00377561 0.00377561
4.60051 0.00571873 0.00406901 0.00406901
5.52061 0.00614618 0.00437286 0.00437286
6.62474 0.0065861 0.00468538 0.00468538
7.94968 0.0070378 0.00500598 0.00500598
9.53962 0.00749547 0.0053308 0.0053308
11.4475 0.00796981 0.0056663 0.0056663
13.7371 0.00845805 0.0060103 0.0060103
16.4845 0.0089531 0.00635773 0.00635773
19.7814 0.00945388 0.00670699 0.00670699
23.7376 0.00996905 0.00706221 0.00706221
28.4852 0.010491 0.00741664 0.00741664
34.1822 0.0110217 0.00776854 0.00776854
41.0186 0.011554 0.00810915 0.00810915
49.2224 0.0121015 0.00844062 0.00844062
59.0668 0.0126507 0.00874535 0.00874535
70.8802 0.013196 0.00900664 0.00900664
85.0562 0.0137472 0.00921157 0.00921157
102.067 0.0143023 0.00933284 0.00933284
122.481 0.0148403 0.00932355 0.00932355
146.977 0.0153879 0.0091551 0.0091551
176.373 0.0158866 0.00874666 0.00874666
211.647 0.0163723 0.00807242 0.00807242
253.977 0.0168091 0.00709359 0.00709359
304.772 0.0171992 0.00584388 0.00584388
365.726 0.0175193 0.00443128 0.00443128
438.871 0.0177746 0.00305594 0.00305594
526.646 0.017915 0.00192527 0.00192527
631.975 0.0180844 0.00116698 0.00116698
758.37 0.0182325 0.000716857 0.000716857
910.044 0.0184372 0.000435228 0.000435228
1092.05 0.018683 0.000240526 0.000240526
1310.46 0.0190027 0.000133403 0.000133403
1572.56 0.0193658 7.39489e-05 7.39489e-05
1887.07 0.0197616 3.87375e-05 3.87375e-05
2264.48 0.0201935 2.01508e-05 2.01508e-05
2717.38 0.020649 1.04629e-05 1.04629e-05
3260.85 0.0211168 5.32513e-06 5.32513e-06
3913.02 0.0216007 2.67859e-06 2.67859e-06
4695.63 0.0220844 1.34287e-06 1.34287e-06
5634.75 0.0226091 6.7072e-07 6.7072e-07
6761.7 0.0231006 3.3335e-07 3.3335e-07
8114.04 0.0236112 1.65323e-07 1.65323e-07
9736.85 0.0241252 8.17776e-08 8.17776e-08
